compute_flops,n_params,n_tokens,hex_color,loss_colorbar_raw,loss_colorbar_cal,colorbar_rgb_dist
3.682173180819936e+19,796527167,7704640290,#9f1a5b,2.69947,2.6994,0.299
3.744749704896034e+19,298207689,20929203828,#9f1a5b,2.69947,2.6994,0.299
4.0600127748602356e+19,170688340,39643527939,#aa185a,2.76511,2.76489,0.451
4.0846797781193245e+19,496871706,13701322779,#9c1b5b,2.67526,2.67524,0.47
4.1194290447991734e+19,539064753,12736345746,#9c1b5b,2.67526,2.67524,0.47
4.387189672311031e+19,871001327,8394915783,#9a1b5b,2.66724,2.66723,0.369
4.443859597023544e+19,191072164,38762488954,#a6195a,2.74031,2.74015,0.536
4.722251503841622e+19,993257812,7923843213,#9a1b5b,2.66724,2.66723,0.369
4.728248658294281e+19,572354081,13768425327,#971c5b,2.64332,2.64336,0.671
5.11371826830274e+19,211455933,40305626102,#9f1a5b,2.69947,2.6994,0.299
5.20815672295069e+19,1115515322,7781391284,#951c5b,2.63539,2.63546,0.439
5.247576945141651e+19,271586469,32203230201,#9e1a5b,2.69138,2.69132,0.573
5.3475621025226195e+19,539065173,16533443358,#951c5b,2.63539,2.63546,0.439
5.362944487276209e+19,993257812,8998913176,#931c5b,2.62749,2.62757,0.493
5.480155175174054e+19,647836450,14098607692,#931c5b,2.62749,2.62757,0.493
5.583279950479933e+19,796527167,11682547655,#931c5b,2.62749,2.62757,0.493
5.670748180132644e+19,414294626,22812864033,#981b5b,2.65924,2.65925,0.627
5.71581967953551e+19,616873503,15442981551,#931c5b,2.62749,2.62757,0.493
5.724842218255842e+19,1115515322,8553359606,#921c5b,2.61175,2.61187,0.7
5.7607636239226446e+19,616873503,15564410942,#951c5b,2.63539,2.63546,0.439
5.813503666708858e+19,1394567571,6947797282,#981b5b,2.65924,2.65925,0.627
5.857049811508591e+19,1234891857,7904942956,#971c5b,2.64332,2.64336,0.671
5.862618161850434e+19,1570058427,6223354559,#981b5b,2.65924,2.65925,0.627
5.914627986163163e+19,414294626,23793968586,#951c5b,2.63539,2.63546,0.439
6.2919702231982875e+19,706700033,14838851769,#921c5b,2.61175,2.61187,0.7
6.476294154343999e+19,244965814,44062571000,#9c1b5b,2.67526,2.67524,0.47
6.830770418747489e+19,271586892,41918876429,#981b5b,2.65924,2.65925,0.627
7.023486822533695e+19,476679765,24556971450,#921c5b,2.61175,2.61187,0.7
7.38025589809646e+19,796527167,15442569959,#8e1d5b,2.59611,2.59626,0.279
7.463128140481026e+19,1234892819,10072572057,#971c5b,2.64332,2.64336,0.671
8.032934231203475e+19,298208154,44895565569,#951c5b,2.63539,2.63546,0.439
8.255005730061297e+19,539065173,25522596473,#8c1d5b,2.58057,2.58075,0.451
