source,compute_flops,n_params,n_tokens,hex_color,loss_colorbar_cal,loss_epoch_ai
chinchilla_fig4_left,2.806181398293451e+19,170688073.6110205,27400678314.608284,#af1759,2.76482,2.803174649739657
chinchilla_fig4_left,5.247576945141651e+19,271586468.82723224,32203230201.427174,#9e1a5b,2.65615,2.6920487981162733
chinchilla_fig4_left,2.6768028126779494e+19,136340031.524328,32722143095.10301,#b41658,2.79912,2.836974331044393
chinchilla_fig4_left,3.240145895397878e+20,1688579331.837331,31980985774.12112,#711f57,2.38382,2.4276561018218445
chinchilla_fig4_left,4.487894607243424e+20,2227468016.6266284,33579940495.547356,#691f55,2.3327,2.377267094130422
chinchilla_fig4_left,5.917595595579007e+20,2907321497.4732943,33923524916.444523,#661f54,2.31829,2.3595282724312296
chinchilla_fig4_left,5.588751151862569e+20,2907321497.4732943,32038373675.561626,#661f54,2.31829,2.3595282724312296
chinchilla_fig4_left,5.870983788423944e+20,1958023099.4142752,49973736181.32319,#611f53,2.28974,2.331416878272676
chinchilla_fig4_left,3.935438128258141e+20,1958023099.4142752,33498397179.578655,#6d1f56,2.35448,2.398733033445379
chinchilla_fig4_left,4.722996902557938e+20,2242043297.806272,35109319752.94705,#681f55,2.32548,2.370154554190775
chinchilla_fig4_left,5.8012487035908135e+20,2574682617.833064,37553163921.445015,#641f54,2.30397,2.3489443598431987
chinchilla_fig4_left,2.9340604039134665e+20,2907323762.3910866,16819938448.022446,#731f58,2.39121,2.434941196776266
chinchilla_fig4_left,2.7513714250288742e+20,2227469751.911821,20586672558.7586,#701f57,2.37644,2.416772019301729
chinchilla_fig4_left,2.9306082217128654e+20,1958024624.7912874,24945278901.73367,#6d1f56,2.35448,2.398733033445379
chinchilla_fig4_left,1.9868261826502546e+21,4406686183.455758,75144379091.8406,#531e4d,2.20609,2.249076295522973
chinchilla_fig4_left,3.221331080472251e+21,6631112392.848204,80965075179.70705,#4b1d4a,2.15867,2.205693537488266
chinchilla_fig4_left,2.875260320411658e+20,1234891856.901794,38805831516.63399,#731f58,2.39121,2.434941196776266
chinchilla_fig4_left,3.3677609140986996e+20,1394567570.8228397,40248568619.15521,#701f57,2.37644,2.416772019301729
chinchilla_fig4_left,4.71810290713723e+20,1750315030.8199468,44926225889.4332,#691f55,2.3327,2.377267094130422
chinchilla_fig4_left,4.301076501255204e+20,1570058427.0870335,45657287090.42474,#6b1f56,2.3472,2.387978623765955
chinchilla_fig4_left,3.8082373523730314e+20,1389803073.949021,45668788427.128395,#6e1f57,2.36178,2.405931333857799
chinchilla_fig4_left,5.032012360394865e+21,9068358195.934519,92482973059.9377,#461c48,2.13202,2.1794149286876103
chinchilla_fig4_left,5.914627986163163e+19,414294625.75084955,23793968585.53559,#951c5b,2.59937,2.640121479394902
chinchilla_fig4_left,7.023486822533695e+19,476679764.63736165,24556971449.784092,#921c5b,2.57539,2.616495387341047
chinchilla_fig4_left,8.255005730061297e+19,539065173.0219358,25522596472.53383,#8c1d5b,2.54377,2.585322489772079
chinchilla_fig4_left,8.776572630256417e+19,572354527.3103489,25556923816.374043,#8b1d5b,2.53592,2.577587469373751
chinchilla_fig4_left,1.361227460316965e+20,796527787.271578,28482527164.969894,#7f1e5a,2.46635,2.5052520841348382
chinchilla_fig4_left,1.0932136843252644e+20,616873983.9783382,29536385948.037567,#861e5b,2.50476,2.546878120316004
chinchilla_fig4_left,1.268131492511218e+20,706700583.8042743,29907326185.314995,#821e5a,2.48164,2.5240864505424114
chinchilla_fig4_left,1.752550350602453e+20,871002005.5875413,33535138062.44063,#7b1f59,2.44357,2.486552675770553
chinchilla_fig4_left,1.9996386789002343e+20,993258585.890451,33553509416.811283,#761f58,2.41351,2.4569279142530447
chinchilla_fig4_left,2.2480065373819286e+20,1115516191.2208645,33586940214.670517,#751f58,2.40606,2.445912595343321
chinchilla_fig4_left,1.1155811422699147e+19,72027230.16180055,25813874830.484142,#cf1e4d,3.0138,3.048504933511402
chinchilla_fig4_left,2.477510977391794e+19,136340243.9529056,30285885096.009895,#b41658,2.79912,2.836974331044393
chinchilla_fig4_left,3.2003585473106395e+19,158807086.9959175,33587486636.043644,#ad1759,2.7563,2.790606978320643
chinchilla_fig4_left,4.443859597023544e+19,191072164.3913303,38762488954.366844,#a6195a,2.70578,2.7449912897159163
chinchilla_fig4_left,4.0600127748602356e+19,170688339.55656993,39643527939.164,#aa185a,2.73093,2.7697776574701383
chinchilla_fig4_left,5.11371826830274e+19,211455933.19625515,40305626102.221405,#9f1a5b,2.66436,2.704172606664561
chinchilla_fig4_left,6.830770418747489e+19,271586891.9804798,41918876428.68056,#981b5b,2.62356,2.6599757580335908
chinchilla_fig4_left,6.476294154343999e+19,244965814.4248743,44062570999.610085,#9c1b5b,2.6398,2.6799733296868915
chinchilla_fig4_left,8.032934231203475e+19,298208153.7229295,44895565568.980705,#951c5b,2.59937,2.640121479394902
chinchilla_fig4_left,2.7812619032236986e+20,1750316394.3842034,26483420484.69283,#711f57,2.38382,2.4276561018218445
chinchilla_fig4_left,2.8550126812717813e+20,1394568657.2458262,34120618185.867687,#6e1f57,2.36178,2.405931333857799
chinchilla_fig4_left,9.649241234640597e+20,2907326027.3106556,55315670046.39409,#5c1e51,2.26151,2.303640402958185
chinchilla_fig4_left,9.770078696276992e+20,2574684623.612097,63244501266.14133,#591e50,2.24057,2.286445840825226
chinchilla_fig4_left,9.730614097734507e+20,2227471487.198374,72807621808.38875,#5b1e51,2.24754,2.293307181295177
chinchilla_fig4_left,9.78734184642453e+20,1958026150.169488,83309594252.8426,#5c1e51,2.26151,2.303640402958185
chinchilla_fig4_left,9.847050634812123e+20,1688581962.7777867,97192504834.1876,#5c1e51,2.26151,2.303640402958185
chinchilla_fig4_left,5.8385331246041445e+20,1750316394.3842034,55595025974.89198,#641f54,2.30397,2.3489443598431987
chinchilla_fig4_left,5.76562956493293e+20,1394568657.2458262,68905769237.6322,#661f54,2.31829,2.3595282724312296
chinchilla_fig4_left,6.573330887491986e+20,1688581962.7777867,64880187759.02934,#641f54,2.30397,2.3489443598431987
chinchilla_fig4_left,8.810015173533013e+20,2227471487.198374,65919401020.13685,#5e1f52,2.26854,2.314014990235024
chinchilla_fig4_left,1.2936442053465795e+21,2907326027.3106556,74160023861.24033,#581e4f,2.23363,2.2761948562682948
chinchilla_fig4_left,5.533178786939935e+20,1234892818.9311194,74678259550.3479,#681f55,2.32548,2.370154554190775
chinchilla_fig4_left,7.409755537103012e+20,1554243949.342398,79457234284.6403,#611f53,2.28974,2.331416878272676
chinchilla_fig4_left,8.5545896347478e+20,1570058427.0870335,90809673992.18948,#601f52,2.27558,2.3209590623040324
chinchilla_fig4_left,9.590866675383374e+20,1750315030.8199468,91325147249.73506,#5c1e51,2.26151,2.303640402958185
chinchilla_fig4_left,5.47381380171855e+20,1115516191.2208645,81782972534.71199,#681f55,2.32548,2.370154554190775
chinchilla_fig4_left,5.4979691507676886e+20,796527787.271578,115040329595.20476,#6d1f56,2.35448,2.398733033445379
chinchilla_fig4_left,5.446584066549552e+20,616873983.9783382,147155502528.61182,#751f58,2.40606,2.445912595343321
chinchilla_fig4_left,2.7875590984147816e+20,1115516191.2208645,41648268911.33344,#731f58,2.39121,2.434941196776266
chinchilla_fig4_left,2.809593314338127e+20,796527787.271578,58788351125.03509,#731f58,2.39121,2.434941196776266
chinchilla_fig4_left,2.704365415364508e+20,572354527.3103489,78749716778.77882,#781f59,2.42099,2.464300850287136
chinchilla_fig4_left,2.838225597470995e+20,414294948.5026574,114178944563.0822,#811e5a,2.47398,2.5165346421087142
chinchilla_fig4_left,2.9455365718847516e+21,2907326027.3106556,168857141362.6104,#4c1d4b,2.16538,2.21231255030845
chinchilla_fig4_left,2.956220190617421e+21,2574684623.612097,191364550277.1039,#4b1d4a,2.15867,2.205693537488266
chinchilla_fig4_left,9.52935229029151e+20,1750315030.8199468,90739401407.71326,#5c1e51,2.26151,2.303640402958185
chinchilla_fig4_left,9.776005834045992e+20,1570058427.0870335,103775393167.83736,#5e1f52,2.26854,2.314014990235024
